name,address,loc_id,latitude&longitude
"namcoサッポロファクトリー","北海道 札幌市中央区 北一条東 4-1-1　サッポロファクトリー1条館内","BRY3aHCKND2WsyqpVZ-xEg","43.064303 141.363013"
"モーリーファンタジー札幌桑園","北海道 札幌市中央区 北八条西 14-28　イオン札幌桑園SC　イオン札幌桑園店2F","1gIHyDy2u1bYWbcz9BmF3w","43.069389 141.333224"
"東急百貨店さっぽろアミューズパーク","北海道 札幌市中央区 北四条西 2-1　東急百貨店さっぽろ店9F","LhpJz81E2AwOJEYNWzD0yg","43.067552 141.352709"
"タイトーステーション札幌狸小路2丁目","北海道 札幌市中央区 南三条 西2-14　ニコービル","tgNdKGtqlA5hY25gmz9oNQ","43.057336 141.355453"
"GiGO BOWLノルベサ","北海道 札幌市中央区 南三条西 5-1-1　ノルベサ6F","qx8FLcTnJqdWVG6vsRna0w","43.056137 141.350894"
"ラウンドワン札幌すすきの","北海道 札幌市中央区 南五条西 3-6-1","DEcah2oynr8vD325wTaU9A","43.054536 141.354524"
"GiGO ココノススキノ","北海道 札幌市中央区 南四条西 4-1-1　COCONO SUSUKINO 3F","AsIcBXCG9dPloV9v4qL43w","43.053771 141.337006"
"モーリーファンタジー札幌麻生","北海道 札幌市北区 北三十九条西 4-1-5　イオン札幌麻生店4F","u6fIp7VCdnAbl5uhSOj1Kw","43.107259 141.339671"
"GiGO 札幌駅西口","北海道 札幌市北区 北六条西 6　JR高架下","H57iUkDJXydOoqQFnN4QYQ","43.067531 141.34628"
"グルグルイトーヨーカドー屯田","北海道 札幌市北区 屯田八条 3-5-1　イトーヨーカドー屯田店2F","0PNuRwWzxFSDbmZvwbmr3g","43.140227 141.340922"
"キャッツアイ新川","北海道 札幌市北区 新川二条 7-1-7","9dmK49ay3c7RIMpk-bBIiw","43.100736 141.310272"
"キャッツアイ篠路","北海道 札幌市北区 篠路一条 4-6-30","33DTOzj56Wb2izvCHfVmig","43.140652 141.357191"
"アミューズメントスペースジョイランド定山渓ビューホテル","北海道 札幌市南区 定山渓温泉東 2　定山渓ビューホテル内","tLb9BMabXEvB3gD0lAQ_DA","42.968979 141.167416"
"トム・ソーヤのなかまたち。札幌藻岩","北海道 札幌市南区 川沿二条 2-1-1　イオン札幌藻岩店2F","qgfyS_q8NfwWfDqu6DfsXg","42.999313 141.336483"
"モーリーファンタジー新さっぽろ","北海道 札幌市厚別区 厚別中央二条 5-6-2　新さっぽろアークシティdUo2　2F","90yK5_GlyQkmVCUDCUeFyA","43.038058 141.471698"
"ゲームランド新さっぽろ","北海道 札幌市厚別区 厚別中央二条 5-7　新さっぽろアークシティ　カテプリ新さっぽろ3F","vjFsQO-W_EKqzoDeiiCykg","43.037441 141.472478"
"キャッツアイ新札幌","北海道 札幌市厚別区 厚別東五条 1　ホーマックスーパーデポ厚別東店横","JUZEMwMT_gsRUleEjU5IVQ","43.045268 141.475797"
"げーむぱーくぎゃらくしー西友厚別","北海道 札幌市厚別区 厚別西四条 6-700-126　西友厚別店2F","2j3MgbwKz51GWLQaVc-fnA","43.053658 141.469174"
"ディノスパーク札幌手稲","北海道 札幌市手稲区 前田一条 11　西友手稲店3F","CAmHkgAgtF5dCI2-sk82TQ","43.120345 141.245427"
"ていね温泉ほのか","北海道 札幌市手稲区 富丘二条 3-2-1　ゲームコーナー","0qY4WMzkzA7tSR_47F1Dmg","43.104879 141.25275"
"モーリーファンタジー手稲山口","北海道 札幌市手稲区 明日風 6-1-1　イオン札幌手稲山口SC　イオンスーパーセンター手稲山口店1F","5Bj45h9DGzkcrbnEsUUjeA","43.14188 141.233892"
"ラッキー星置駅前","北海道 札幌市手稲区 星置一条 2-1-1　ラッキー星置駅前店内ゲームコーナー1F","G2T4iHDQAgReXR49tvVr3Q","43.132866 141.211645"
"キャッツアイ宮の沢","北海道 札幌市手稲区 西宮の沢五条 2-11-15","oEw6stYrCEqfRdwtKPiNPg","43.096392 141.257657"
"namcoアリオ札幌","北海道 札幌市東区 北七条東 9-2-20　アリオ札幌スパ・レジャー館2F　233区画","TR_S4teph_5LG3fehiutMg","43.07117 141.370255"
"キッズパーク イトーヨーカドーアリオ札幌","北海道 札幌市東区 北七条東 9-2-20　イトーヨーカドーアリオ札幌店3F","ZtNE1S5okxEVGREADTBXcw","43.071092 141.37032"
"モーリーファンタジー札幌元町","北海道 札幌市東区 北三十一条東 15-1-1　イオン札幌元町SC　イオン札幌元町店3F","PUMB3G1XYdvUSxFptA3ppA","43.101585 141.368225"
"ラウンドワンスタジアム札幌北21条","北海道 札幌市東区 北二十一条東 1-1-21","FRVHpQMTAClhOqqm7Xsoyg","43.086887 141.34985"
"アドアーズ札幌北42条","北海道 札幌市東区 北四十二条東 7-1-1　ドン・キホーテ北42条店2F","WPMRbdk-NXkwkyFw5mLNsw","43.112034 141.355326"
"ソユーゲームフィールド札幌苗穂","北海道 札幌市東区 東苗穂二条 3-1-1　イオンモール札幌苗穂2F","1iCoQV6-n2TD_HyVDOmkkA","43.079836 141.403812"
"モーリーファンタジー札幌苗穂","北海道 札幌市東区 東苗穂二条 3-1-1　イオンモール札幌苗穂　イオン札幌苗穂店2F","hiG_wOtM4zZcCw-A-b_feA","43.079836 141.403812"
"キャッツアイ東苗穂","北海道 札幌市東区 東苗穂六条 2-1-25","DepRnL1pBoinmWvKZ52Ivw","43.092377 141.406961"
"タイトーステーションイオンモール札幌平岡","北海道 札幌市清田区 平岡三条 5-3-1　イオンモール札幌平岡2F","8gsGDvCyXNETblceXPBXFQ","42.997241 141.458713"
"モーリーファンタジー札幌平岡","北海道 札幌市清田区 平岡三条 5-3-1　イオンモール札幌平岡　イオン札幌平岡店2F","EAdQ6GLfZn4RRB0neSOgHg","42.997257 141.458734"
"キャッツアイ清田","北海道 札幌市清田区 清田一条 1-20-1","hzWMFmJ3s3CoA1QAK-ThLA","43.002843 141.436304"
"VEGAGIO美しが丘","北海道 札幌市清田区 美しが丘一条 7-6-10　ベガロポリス美しが丘店内","x4zd4iNFiYtGufkwK_Y8qg","42.980932 141.463502"
"ラウンドワンスタジアム札幌・白石本通","北海道 札幌市白石区 本通 16-北1-50","aMdTukaIq7whaUbaJhnUPw","43.036928 141.432887"
"namcoラソラ札幌","北海道 札幌市白石区 東札幌三条 1-1-1　ラソラ札幌Atown 2F","ExtKoviQ6OKW3FfKFyf0lw","43.054045 141.383411"
"モーリーファンタジー東札幌","北海道 札幌市白石区 東札幌三条 2-1　イオン東札幌2F","GML6YZF0fCYd_W75x8pKBg","43.052723 141.385223"
"キャッツアイ栄通","北海道 札幌市白石区 栄通 19-11-43","pOwKF8yvhuESOvB5hHligA","43.025348 141.436631"
"わいわいランド琴似","北海道 札幌市西区 琴似二条 1-4-1　イトーヨーカドー琴似店3F","1iW-Nfh-VriT-CO27uXRnA","43.080733 141.30593"
"モーリーファンタジー札幌琴似","北海道 札幌市西区 琴似二条 4-2-2　イオン札幌琴似店3F","iM1-ACwjFq7cKUpONQBh2g","43.076764 141.30298"
"ソユーゲームフィールド札幌発寒","北海道 札幌市西区 発寒八条 12-1-1　イオンモール札幌発寒3F","JT1UcxNgiLhYs1rNSY5KJA","43.096422 141.276495"
"モーリーファンタジー札幌発寒","北海道 札幌市西区 発寒八条 12-1-1　イオンモール札幌発寒　イオン札幌発寒店3F","hQSODrCd6f1SH496i2mpHw","43.096164 141.276956"
"namco札幌西町","北海道 札幌市西区 西町北 13-1　ワンダーシティ札幌","OIMN0bcMAaaIGsWB3Bhzeg","43.082401 141.283759"
"キャッツアイミュンヘン大橋","北海道 札幌市豊平区 平岸一条 23-801-1","Gu67ZztLh0pzGnsSk7Uzbw","43.013979 141.355013"
"イオン札幌西岡","北海道 札幌市豊平区 西岡三条 3-4-1　イオン札幌西岡店2Fゲームコーナー","oqZtAnO4bXeEP4HTrheCZQ","43.018465 141.387296"
"GiGO 函館昭和","北海道 函館市 昭和 3-24-18　ゲオ函館昭和店内","eJHc_rJWlr9M1BUhwTbYNQ","41.819233 140.734544"
"BIG BANG 函館","北海道 函館市 梁川町 9-3　パボッツ函館3F","UM3Do5bZM6dqGYnwniSEPg","41.789039 140.744381"
"コープさっぽろ湯川店ファミリーランド","北海道 函館市 湯川町 1-34-15　コープさっぽろ湯川店2F","50XxI1sH6kHnKK-2R61vPQ","41.781434 140.782284"
"モーリーファンタジー湯川","北海道 函館市 湯川町 3-14-5　イオン湯川店1・2F","1DRoMetfv7pKEqFijodX7A","41.777661 140.794031"
"宝島函館","北海道 函館市 美原 1-7-1　MEGAドン・キホーテ函館店2F","473dC8ymKQ8y6X3Z-PitvA","41.813509 140.756295"
"ラウンドワンスタジアム函館","北海道 函館市 西桔梗町 848-11","TZAv1Nmcw3ocBewGVGXf0Q","41.82459 140.71745"
"あそびパークウイングベイ小樽","北海道 小樽市 築港 11-1　ウイングベイ小樽1番街3F","UzAXGJZYgE2DYmSZbMC2ww","43.182522 141.026117"
"namcoウイングベイ小樽","北海道 小樽市 築港 11-5　ウイングベイ小樽5番街2・3F","PIfWgXto_lsSRv9nyeo1WQ","43.183941 141.02231"
"モーリーファンタジー旭川パルプ","北海道 旭川市 パルプ町一条 2-505-2　SCパルプタウン1F","sGok0_OoniIWfLd6LtZz_Q","43.775108 142.38436"
"でぃのぱ！旭川","北海道 旭川市 六条通 14-64　メガセンタートライアル旭川2F","rpTbWGpoXg6PUBtE-SOJJg","43.76879 142.369611"
"ソユーゲームフィールド旭川駅前","北海道 旭川市 宮下通 7-2-5　イオンモール旭川駅前4F","tCZEbuhu-jhGRhKMXYGniA","43.764006 142.357115"
"アミューズメントスペース遊ランド春光","北海道 旭川市 春光一条 7-2-25　第2ダイワビル2F","Xaqa-MmVS9DlDnuG3vkdbw","43.798197 142.374036"
